Var_1,target
"0     -1.9630
1     -1.9578
2     -1.9561
3     -1.9383
4     -1.8967
        ...  
246   -1.8413
247   -1.8843
248   -1.9054
249   -1.9239
250   -1.9092
Length: 251, dtype: float64",0
"0     -1.7746
1     -1.7740
2     -1.7766
3     -1.7307
4     -1.6963
        ...  
246   -1.6400
247   -1.6787
248   -1.7292
249   -1.7757
250   -1.7893
Length: 251, dtype: float64",1
"0     -1.8660
1     -1.8420
2     -1.8350
3     -1.8119
4     -1.7644
        ...  
246   -1.8291
247   -1.8758
248   -1.8625
249   -1.8634
250   -1.8465
Length: 251, dtype: float64",2
"0     -2.0738
1     -2.0733
2     -2.0446
3     -2.0383
4     -1.9590
        ...  
246   -1.9512
247   -2.0129
248   -2.0270
249   -2.0734
250   -2.0753
Length: 251, dtype: float64",0
"0     -1.7463
1     -1.7413
2     -1.7227
3     -1.6986
4     -1.6772
        ...  
246   -1.7169
247   -1.7407
248   -1.7434
249   -1.7627
250   -1.7634
Length: 251, dtype: float64",1
"0     -1.9828
1     -1.9789
2     -1.9373
3     -1.8914
4     -1.8409
        ...  
246   -1.8735
247   -1.9197
248   -1.9790
249   -1.9649
250   -1.9838
Length: 251, dtype: float64",2
"0     -2.0830
1     -2.0921
2     -2.0495
3     -2.0368
4     -1.9730
        ...  
246   -1.9361
247   -2.0275
248   -2.0307
249   -2.0331
250   -2.0776
Length: 251, dtype: float64",0
"0     -1.6336
1     -1.6432
2     -1.6137
3     -1.5989
4     -1.5668
        ...  
246   -1.5991
247   -1.6236
248   -1.6465
249   -1.6430
250   -1.6402
Length: 251, dtype: float64",1
"0     -1.7170
1     -1.7281
2     -1.6833
3     -1.6668
4     -1.6468
        ...  
246   -1.6515
247   -1.6988
248   -1.7153
249   -1.7320
250   -1.7176
Length: 251, dtype: float64",2
"0     -2.2453
1     -2.2239
2     -2.1719
3     -2.0926
4     -2.0647
        ...  
246   -2.0419
247   -2.1232
248   -2.1303
249   -2.2027
250   -2.2272
Length: 251, dtype: float64",0
"0     -1.8442
1     -1.8399
2     -1.8257
3     -1.7927
4     -1.7397
        ...  
246   -1.7942
247   -1.8267
248   -1.8289
249   -1.8440
250   -1.8448
Length: 251, dtype: float64",1
"0     -1.8337
1     -1.8277
2     -1.7764
3     -1.7744
4     -1.7168
        ...  
246   -1.7944
247   -1.8134
248   -1.8150
249   -1.8327
250   -1.8169
Length: 251, dtype: float64",2
"0     -2.1056
1     -2.1215
2     -2.0359
3     -2.0026
4     -1.9300
        ...  
246   -1.9961
247   -2.0304
248   -2.0840
249   -2.0851
250   -2.0851
Length: 251, dtype: float64",0
"0     -1.9005
1     -1.8827
2     -1.8685
3     -1.8184
4     -1.7953
        ...  
246   -1.7701
247   -1.7953
248   -1.8327
249   -1.8661
250   -1.8985
Length: 251, dtype: float64",1
"0     -2.1888
1     -2.1855
2     -2.1765
3     -2.0964
4     -2.0538
        ...  
246   -2.0986
247   -2.1292
248   -2.1599
249   -2.1877
250   -2.1893
Length: 251, dtype: float64",2
"0     -2.1645
1     -2.1785
2     -2.0660
3     -2.0461
4     -1.9791
        ...  
246   -2.0642
247   -2.0725
248   -2.1175
249   -2.0920
250   -2.1318
Length: 251, dtype: float64",0
"0     -2.0537
1     -2.0369
2     -2.0330
3     -2.0135
4     -1.9433
        ...  
246   -1.9057
247   -1.9462
248   -2.0016
249   -2.0356
250   -2.0529
Length: 251, dtype: float64",1
"0     -1.6537
1     -1.6510
2     -1.6319
3     -1.6127
4     -1.5886
        ...  
246   -1.5501
247   -1.5928
248   -1.6153
249   -1.6174
250   -1.6517
Length: 251, dtype: float64",2
"0     -2.1138
1     -2.0918
2     -2.0488
3     -2.0003
4     -1.9664
        ...  
246   -1.9386
247   -1.9868
248   -2.0597
249   -2.1274
250   -2.1308
Length: 251, dtype: float64",0
"0     -1.8822
1     -1.8806
2     -1.8658
3     -1.8366
4     -1.8033
        ...  
246   -1.7812
247   -1.8340
248   -1.8670
249   -1.8959
250   -1.8843
Length: 251, dtype: float64",1
"0     -1.9226
1     -1.9080
2     -1.8801
3     -1.8400
4     -1.7961
        ...  
246   -1.8151
247   -1.8345
248   -1.8805
249   -1.9072
250   -1.9212
Length: 251, dtype: float64",2
"0     -1.9888
1     -2.0247
2     -1.9262
3     -1.8752
4     -1.8132
        ...  
246   -1.8247
247   -1.8652
248   -1.9169
249   -1.9186
250   -1.9865
Length: 251, dtype: float64",0
"0     -1.7545
1     -1.7779
2     -1.7514
3     -1.7257
4     -1.6751
        ...  
246   -1.6754
247   -1.7276
248   -1.7518
249   -1.7773
250   -1.7559
Length: 251, dtype: float64",1
